,State,Year,Category,Amount,Multibid,PercentMultibid,id,gsp,deflated,GSPpct
1,CA,2000,NULL,928508.53,0,0,California,1377014,683753.6815,6.74291E-05
2,GA,2000,NULL,0,0,NA,Georgia,304942,0,0
3,MD,2000,NULL,0,0,NA,Maryland,192934,0,0
4,MN,2000,NULL,0,0,NA,Minnesota,192948,0,0
5,NY,2000,NULL,12404,12404,1,New York,824386,9134.3056,1.50463E-06
6,PA,2000,NULL,0,0,NA,Pennsylvania,409473,0,0
7,TN,2000,NULL,0,0,NA,Tennessee,182844,0,0
8,TX,2000,NULL,10000,10000,1,Texas,752007,7364,1.32977E-06
9,VA,2000,NULL,1670707,0,0,Virginia,269194,1230308.635,0.000620633
10,CA,2001,NULL,2008479,0,0,California,1394863,1518410.124,0.000143991
11,CT,2001,NULL,0,0,NA,Connecticut,172336,0,0
12,IA,2001,NULL,0,0,NA,Iowa,96093,0,0
13,IL,2001,NULL,0,0,NA,Illinois,503969,0,0
14,MD,2001,NULL,16990.85,16990.85,1,Maryland,206296,12845.0826,8.23615E-06
15,MS,2001,NULL,7913,7913,1,Mississippi,67662,5982.228,1.16949E-05
16,NY,2001,NULL,0,0,NA,New York,864377,0,0
17,PA,2001,NULL,0,0,NA,Pennsylvania,428099,0,0
18,SC,2001,NULL,7982,0,0,South Carolina,121361,6034.392,6.57707E-06
19,SD,2001,NULL,13342,0,0,South Dakota,24399,10086.552,5.46826E-05
20,VA,2001,NULL,871367,66158,0.075924381,Virginia,284595,658753.452,0.000306178
21,WI,2001,NULL,0,0,NA,Wisconsin,188164,0,0
22,AL,2002,NULL,-228771.24,-228771.24,1,Alabama,130180,-175833.5751,-0.000175735
23,AZ,2002,NULL,25000,0,0,Arizona,179892,19215,1.38972E-05
24,CA,2002,NULL,0,0,NA,California,1449536,0,0
25,CT,2002,NULL,24559,0,0,Connecticut,174856,18876.0474,1.40453E-05
26,FL,2002,NULL,0,0,NA,Florida,550486,0,0
27,HI,2002,NULL,0,0,NA,Hawaii,45185,0,0
28,IN,2002,NULL,0,0,NA,Indiana,214788,0,0
29,KY,2002,NULL,24511,0,0,Kentucky,123928,18839.1546,1.97784E-05
30,MD,2002,NULL,5046,0,0,Maryland,218525,3878.3556,2.30912E-06
31,MO,2002,NULL,4420,0,0,Missouri,196807,3397.212,2.24586E-06
32,NJ,2002,NULL,240000,240000,1,New Jersey,388030,184464,6.18509E-05
33,NY,2002,NULL,0,0,NA,New York,879623,0,0
34,OK,2002,NULL,1324868,1324868,1,Oklahoma,99532,1018293.545,0.001331098
35,PA,2002,NULL,1723112,0,0,Pennsylvania,440514,1324383.883,0.000391159
36,SC,2002,NULL,18239.51,-4059.49,-0.222565738,South Carolina,126044,14018.88739,1.44707E-05
37,TX,2002,NULL,25676,10000,0.389468765,Texas,801155,19734.5736,3.20487E-06
38,VA,2002,NULL,4145681,413221,0.099675059,Virginia,292387,3186370.417,0.001417875
39,WA,2002,NULL,612,612,1,Washington,249942,470.3832,2.44857E-07
40,WI,2002,NULL,12674.7,0,0,Wisconsin,195546,9741.77442,6.4817E-06
41,CA,2003,NULL,18391,6000,0.326246534,California,1535202,14534.4073,1.19795E-06
42,FL,2003,NULL,0,0,NA,Florida,585729,0,0
43,GA,2003,NULL,0,0,NA,Georgia,335367,0,0
44,HI,2003,NULL,20880,20704,0.991570881,Hawaii,48559,16501.464,4.29992E-05
45,IN,2003,NULL,1969678,0,0,Indiana,225933,1556636.523,0.000871797
46,KY,2003,NULL,0,0,NA,Kentucky,128804,0,0
47,MA,2003,NULL,0,0,NA,Massachusetts,315339,0,0
48,MN,2003,NULL,0,0,NA,Minnesota,218061,0,0
49,NJ,2003,NULL,74689,74689,1,New Jersey,404905,59026.7167,1.84461E-05
50,NY,2003,NULL,2975,0,0,New York,898559,2351.1425,3.31086E-07
51,OH,2003,NULL,4388,0,0,Ohio,426295,3467.8364,1.02933E-06
52,OK,2003,NULL,0,0,NA,Oklahoma,106105,0,0
53,PA,2003,NULL,44390413,0,0,Pennsylvania,458434,35081743.39,0.009683054
54,SC,2003,NULL,56547,10511,0.185880772,South Carolina,132485,44689.0941,4.26818E-05
55,TX,2003,NULL,1609887,3928,0.002439923,Texas,844435,1272293.696,0.000190647
56,VA,2003,NULL,5012961,201364,0.040168675,Virginia,309648,3961743.078,0.001618922
57,WA,2003,NULL,10750.5,0,0,Washington,260027,8496.12015,4.13438E-06
58,WV,2003,NULL,306734,0,0,West Virginia,46471,242411.8802,0.000660055
59,AL,2004,NULL,4284.84,4284.84,1,Alabama,148769,3475.00524,2.8802E-06
60,CA,2004,NULL,138015.89,32061,0.232299339,California,1643908,111930.8868,8.3956E-06
61,CO,2004,NULL,4500,0,0,Colorado,205347,3649.5,2.19141E-06
62,FL,2004,NULL,26800.26,10452.44,0.390012634,Florida,637113,21735.01086,4.20652E-06
63,GA,2004,NULL,205340.92,54777.24,0.266762416,Georgia,353025,166531.4861,5.81661E-05
64,ID,2004,NULL,5016,5016,1,Idaho,44445,4067.976,1.12859E-05
65,IL,2004,NULL,49845,17164.95,0.344366536,Illinois,561117,40424.295,8.88317E-06
66,IN,2004,NULL,47456.56,33841.83,0.713111738,Indiana,240428,38487.27016,1.97384E-05
67,KY,2004,NULL,17423.91,5678.65,0.325911348,Kentucky,135994,14130.79101,1.28123E-05
68,MD,2004,NULL,37020.61,13484.11,0.364232518,Maryland,247461,30023.71471,1.49602E-05
69,MI,2004,NULL,12440,12440,1,Michigan,383545,10088.84,3.24343E-06
70,MN,2004,NULL,349160.5,198649.3,0.568934058,Minnesota,231904,283169.1655,0.000150563
71,MO,2004,NULL,3252,0,0,Missouri,215895,2637.372,1.50629E-06
72,NC,2004,NULL,126101.26,109302.68,0.866784995,North Carolina,332598,102268.1219,3.7914E-05
73,NH,2004,NULL,18683.85,10059.85,0.538424896,New Hampshire,53148,15152.60235,3.51544E-05
74,NY,2004,NULL,142204.45,35811.4,0.251830375,New York,954249,115327.809,1.49022E-05
75,OH,2004,NULL,-2778.9,0,0,Ohio,450842,-2253.6879,-6.1638E-07
76,OR,2004,NULL,16787,9600,0.571871091,Oregon,142516,13614.257,1.1779E-05
77,PA,2004,NULL,133179,0,0,Pennsylvania,481879,108008.169,2.76374E-05
78,SC,2004,NULL,64820,18240,0.281394631,South Carolina,136875,52569.02,4.73571E-05
79,TX,2004,NULL,49224.55,32807.06,0.666477601,Texas,922770,39921.11005,5.33443E-06
80,VA,2004,NULL,2669930.41,283547.27,0.106200247,Virginia,330412,2165313.563,0.000808061
81,VT,2004,NULL,14070.5,14070.5,1,Vermont,22538,11411.1755,6.24301E-05
82,WV,2004,NULL,8635.5,8635.5,1,West Virginia,49409,7003.3905,1.74776E-05
83,CA,2005,NULL,433229.46,425220,0.981512199,California,1760508,363522.8399,2.46082E-05
84,FL,2005,NULL,3096.16,0,0,Florida,700222,2597.987856,4.42168E-07
85,GA,2005,NULL,29745.52,0,0,Georgia,376626,24959.46583,7.89789E-06
86,IL,2005,NULL,8260.06,5738.8,0.694764929,Illinois,588847,6931.016346,1.40275E-06
87,IN,2005,NULL,3139.5,0,0,Indiana,247048,2634.35445,1.27081E-06
88,KY,2005,NULL,4440,4440,1,Kentucky,144174,3725.604,3.07961E-06
89,MD,2005,NULL,11121.15,0,0,Maryland,264729,9331.756965,4.20096E-06
90,MN,2005,NULL,49115,0,0,Minnesota,244800,41212.3965,2.00633E-05
91,MO,2005,NULL,7983.48,7983.48,1,Missouri,225268,6698.938068,3.54399E-06
92,NC,2005,NULL,19710.7,16234.7,0.823649084,North Carolina,357711,16539.24837,5.51023E-06
93,NY,2005,NULL,41377.19,41377.19,1,New York,1024329,34719.60013,4.03944E-06
94,OK,2005,NULL,0,0,NA,Oklahoma,125106,0,0
95,PA,2005,NULL,702646.5,0,0,Pennsylvania,505091,589590.6782,0.000139113
96,TN,2005,NULL,15579.32,12707.2,0.815645356,Tennessee,228730,13072.60741,6.81123E-06
97,TX,2005,NULL,9312.66,9312.66,1,Texas,999641,7814.253006,9.316E-07
98,VA,2005,NULL,2032770.38,121257.1,0.059651154,Virginia,358730,1705697.626,0.000566657
